Time_s,Channel_0
0.000000,0.0
0.000466,0.0
0.000931,0.0
0.001397,0.0
0.001862,0.0
0.002328,0.0
0.002793,0.0
0.003259,0.0
0.003724,0.0
0.004190,0.0
0.004655,0.0
0.005121,0.0
0.005586,0.0
0.006052,0.0
0.006517,0.0
0.006983,0.0
0.007448,0.0
0.007914,0.0
0.008379,0.0
0.008845,0.0
0.009310,0.0
0.009776,0.0
0.010241,0.0
0.010707,0.0
0.011172,0.0
0.011638,0.0
0.012103,0.0
0.012569,0.0
0.013034,0.0
0.013500,0.0
0.013966,0.0
0.014431,0.0
0.014897,0.0
0.015362,0.0
0.015828,0.0
0.016293,0.0
0.016759,0.0
0.017224,0.0
0.017690,0.0
0.018155,0.0
0.018621,0.0
0.019086,0.0
0.019552,0.0
0.020017,0.0
0.020483,0.0
0.020948,0.0
0.021414,0.0
0.021879,0.0
0.022345,0.0
0.022810,0.0
0.023276,0.0
0.023741,0.0
0.024207,0.0
0.024672,0.0
0.025138,0.0
0.025603,0.0
0.026069,0.0
0.026534,0.0
0.027000,0.0
0.027465,0.0
0.027931,0.0
0.028397,0.0
0.028862,0.0
0.029328,0.0
0.029793,0.0
0.030259,0.0
0.030724,0.0
0.031190,0.0
0.031655,0.0
0.032121,0.0
0.032586,0.0
0.033052,0.0
0.033517,0.0
0.033983,0.0
0.034448,0.0
0.034914,0.0
0.035379,0.0
0.035845,0.0
0.036310,0.0
0.036776,0.0
0.037241,0.0
0.037707,0.0
0.038172,0.0
0.038638,0.0
0.039103,0.0
0.039569,0.0
0.040034,0.0
0.040500,0.0
0.040965,0.0
0.041431,0.0
0.041897,0.0
0.042362,0.0
0.042828,0.0
0.043293,0.0
0.043759,0.0
0.044224,0.0
0.044690,0.0
0.045155,0.0
0.045621,0.0
0.046086,0.0
0.046552,0.0
0.047017,0.0
0.047483,0.0
0.047948,0.0
0.048414,0.0
0.048879,0.0
0.049345,0.0
0.049810,0.0
0.050276,0.0
0.050741,0.0
0.051207,0.0
0.051672,0.0
0.052138,0.0
0.052603,0.0
0.053069,0.0
0.053534,0.0
0.054000,0.0
0.054465,0.0
0.054931,0.0
0.055397,0.0
0.055862,0.0
0.056328,0.0
0.056793,0.0
0.057259,0.0
0.057724,0.0
0.058190,0.0
0.058655,0.0
0.059121,0.0
0.059586,0.0
0.060052,0.0
0.060517,0.0
0.060983,0.0
0.061448,0.0
0.061914,0.0
0.062379,0.0
0.062845,0.0
0.063310,0.0
0.063776,0.0
0.064241,0.0
0.064707,0.0
0.065172,0.0
0.065638,0.0
0.066103,0.0
0.066569,0.0
0.067034,0.0
0.067500,0.0
0.067965,0.0
0.068431,0.0
0.068896,0.0
0.069362,0.0
0.069828,0.0
0.070293,0.0
0.070759,0.0
0.071224,0.0
0.071690,0.0
0.072155,0.0
0.072621,0.0
0.073086,0.0
0.073552,0.0
0.074017,0.0
0.074483,0.0
0.074948,0.0
0.075414,0.0
0.075879,0.0
0.076345,0.0
0.076810,0.0
0.077276,0.0
0.077741,0.0
0.078207,0.0
0.078672,0.0
0.079138,0.0
0.079603,0.0
0.080069,0.0
0.080534,0.0
0.081000,0.0
0.081465,0.0
0.081931,0.0
0.082396,0.0
0.082862,0.0
0.083328,0.0
0.083793,0.0
0.084259,0.0
0.084724,0.0
0.085190,0.0
0.085655,0.0
0.086121,0.0
0.086586,0.0
0.087052,0.0
0.087517,0.0
0.087983,0.0
0.088448,0.0
0.088914,0.0
0.089379,0.0
0.089845,0.0
0.090310,0.0
0.090776,0.0
0.091241,0.0
0.091707,0.0
0.092172,0.0
0.092638,0.0
0.093103,0.0
0.093569,0.0
0.094034,0.0
0.094500,0.0
0.094965,0.0
0.095431,0.0
0.095896,0.0
0.096362,0.0
0.096828,0.0
0.097293,0.0
0.097759,0.0
0.098224,0.0
0.098690,0.0
0.099155,0.0
0.099621,0.0
0.100086,0.0
0.100552,0.0
0.101017,0.0
0.101483,0.0
0.101948,0.0
0.102414,0.0
0.102879,0.0
0.103345,0.0
0.103810,0.0
0.104276,0.0
0.104741,0.0
0.105207,0.0
0.105672,0.0
0.106138,0.0
0.106603,0.0
0.107069,0.0
0.107534,0.0
0.108000,0.0
0.108465,0.0
0.108931,0.0
0.109396,0.0
0.109862,0.0
0.110327,0.0
0.110793,0.0
0.111259,0.0
0.111724,0.0
0.112190,0.0
0.112655,0.0
0.113121,0.0
0.113586,0.0
0.114052,0.0
0.114517,0.0
0.114983,0.0
0.115448,0.0
0.115914,0.0
0.116379,0.0
0.116845,0.0
0.117310,0.0
0.117776,0.0
0.118241,0.0
0.118707,0.0
0.119172,0.0
0.119638,0.0
0.120103,0.0
0.120569,0.0
0.121034,0.0
0.121500,0.0
0.121965,0.0
0.122431,0.0
0.122896,0.0
0.123362,0.0
0.123827,0.0
0.124293,0.0
0.124759,0.0
0.125224,0.0
0.125690,0.0
0.126155,0.0
0.126621,0.0
0.127086,0.0
0.127552,0.0
0.128017,0.0
0.128483,0.0
0.128948,0.0
0.129414,0.0
0.129879,0.0
0.130345,0.0
0.130810,0.0
0.131276,0.0
0.131741,0.0
0.132207,0.0
0.132672,0.0
0.133138,0.0
0.133603,0.0
0.134069,0.0
0.134534,0.0
0.135000,0.0
0.135465,0.0
0.135931,0.0
0.136396,0.0
0.136862,0.0
0.137327,0.0
0.137793,0.0
0.138259,0.0
0.138724,0.0
0.139190,0.0
0.139655,0.0
0.140121,0.0
0.140586,0.0
0.141052,0.0
0.141517,0.0
0.141983,0.0
0.142448,0.0
0.142914,0.0
0.143379,0.0
0.143845,0.0
0.144310,0.0
0.144776,0.0
0.145241,0.0
0.145707,0.0
0.146172,0.0
0.146638,0.0
0.147103,0.0
0.147569,0.0
0.148034,0.0
0.148500,0.0
0.148965,0.0
0.149431,0.0
0.149896,0.0
0.150362,0.0
0.150827,0.0
0.151293,0.0
0.151758,0.0
0.152224,0.0
0.152690,0.0
0.153155,0.0
0.153621,0.0
0.154086,0.0
0.154552,0.0
0.155017,0.0
0.155483,0.0
0.155948,0.0
0.156414,0.0
0.156879,0.0
0.157345,0.0
0.157810,0.0
0.158276,0.0
0.158741,0.0
0.159207,0.0
0.159672,0.0
0.160138,0.0
0.160603,0.0
0.161069,0.0
0.161534,0.0
0.162000,0.0
0.162465,0.0
0.162931,0.0
0.163396,0.0
0.163862,0.0
0.164327,0.0
0.164793,0.0
0.165258,0.0
0.165724,0.0
0.166190,0.0
0.166655,0.0
0.167121,0.0
0.167586,0.0
0.168052,0.0
0.168517,0.0
0.168983,0.0
0.169448,0.0
0.169914,0.0
0.170379,0.0
0.170845,0.0
0.171310,0.0
0.171776,0.0
0.172241,0.0
0.172707,0.0
0.173172,0.0
0.173638,0.0
0.174103,0.0
0.174569,0.0
0.175034,0.0
0.175500,0.0
0.175965,0.0
0.176431,0.0
0.176896,0.0
0.177362,0.0
0.177827,0.0
0.178293,0.0
0.178758,0.0
0.179224,0.0
0.179690,0.0
0.180155,0.0
0.180621,0.0
0.181086,0.0
0.181552,0.0
0.182017,0.0
0.182483,0.0
0.182948,0.0
0.183414,0.0
0.183879,0.0
0.184345,0.0
0.184810,0.0
0.185276,0.0
0.185741,0.0
0.186207,0.0
0.186672,0.0
0.187138,0.0
0.187603,0.0
0.188069,0.0
0.188534,0.0
0.189000,0.0
0.189465,0.0
0.189931,0.0
0.190396,0.0
0.190862,0.0
0.191327,0.0
0.191793,0.0
0.192258,0.0
0.192724,0.0
0.193189,0.0
0.193655,0.0
0.194121,0.0
0.194586,0.0
0.195052,0.0
0.195517,0.0
0.195983,0.0
0.196448,0.0
0.196914,0.0
0.197379,0.0
0.197845,0.0
0.198310,0.0
0.198776,0.0
0.199241,0.0
0.199707,0.0
0.200172,0.0
0.200638,0.0
0.201103,0.0
0.201569,0.0
0.202034,0.0
0.202500,0.0
0.202965,0.0
0.203431,0.0
0.203896,0.0
0.204362,0.0
0.204827,0.0
0.205293,0.0
0.205758,0.0
0.206224,0.0
0.206689,0.0
0.207155,0.0
0.207621,0.0
0.208086,0.0
0.208552,0.0
0.209017,0.0
0.209483,0.0
0.209948,0.0
0.210414,0.0
0.210879,0.0
0.211345,0.0
0.211810,0.0
0.212276,0.0
0.212741,0.0
0.213207,0.0
0.213672,0.0
0.214138,0.0
0.214603,0.0
0.215069,0.0
0.215534,0.0
0.216000,0.0
0.216465,0.0
0.216931,0.0
0.217396,0.0
0.217862,0.0
0.218327,0.0
0.218793,0.0
0.219258,0.0
0.219724,0.0
0.220189,0.0
0.220655,0.0
0.221120,0.0
0.221586,0.0
0.222052,0.0
0.222517,0.0
0.222983,0.0
0.223448,0.0
0.223914,0.0
0.224379,0.0
0.224845,0.0
0.225310,0.0
0.225776,0.0
0.226241,0.0
0.226707,0.0
0.227172,0.0
0.227638,0.0
0.228103,0.0
0.228569,0.0
0.229034,0.0
0.229500,0.0
0.229965,0.0
0.230431,0.0
0.230896,0.0
0.231362,0.0
0.231827,0.0
0.232293,0.0
0.232758,0.0
0.233224,0.0
0.233689,0.0
0.234155,0.0
0.234620,0.0
0.235086,0.0
0.235552,0.0
0.236017,0.0
0.236483,0.0
0.236948,0.0
0.237414,0.0
0.237879,0.0
0.238345,0.0
0.238810,0.0
0.239276,0.0
0.239741,0.0
0.240207,0.0
0.240672,0.0
0.241138,0.0
0.241603,0.0
0.242069,0.0
0.242534,0.0
0.243000,-0.8140688181887541
0.243465,-0.09752040894178682
0.243931,-0.09684901197833219
0.244396,-0.04682993820096131
0.244862,-0.553398947127489
0.245327,-2.072266727702754
0.245793,-4.008072022583352
0.246258,-5.371511406118867
0.246724,-5.230518043793393
0.247189,-4.043488212405585
0.247655,-3.3316395819027997
0.248120,-3.960234988937209
0.248586,-4.811398489356833
0.249052,-3.611108567940795
0.249517,-1.5381704432745857
0.249983,-1.58466468299382
0.250448,-3.4031433585107194
0.250914,-5.251834897383078
0.251379,-5.491020065613794
0.251845,-5.493034256504157
0.252310,-5.493537804226749
0.252776,-5.493873502708476
0.253241,-5.49404135194934
0.253707,-5.49404135194934
0.254172,-5.494209201190204
0.254638,-5.494377050431067
0.255103,-5.49404135194934
0.255569,-5.494377050431067
0.256034,-5.494209201190204
0.256500,-4.885420004577706
0.256965,2.997787441824979
0.257431,5.486488136110475
0.257896,5.490516517891203
0.258362,5.491187914854658
0.258827,5.4918593118181125
0.259293,5.492530708781567
0.259758,5.492530708781567
0.260224,5.493202105745021
0.260689,5.493202105745021
0.261155,5.492530708781567
0.261620,5.4918593118181125
0.262086,5.492530708781567
0.262551,5.492530708781567
0.263017,5.492530708781567
0.263483,5.492530708781567
0.263948,5.4928664072632944
0.264414,5.493034256504157
0.264879,5.493202105745021
0.265345,5.4928664072632944
0.265810,5.493202105745021
0.266276,5.492530708781567
0.266741,5.492530708781567
0.267207,5.492530708781567
0.267672,5.492530708781567
0.268138,5.492530708781567
0.268603,5.492530708781567
0.269069,5.492530708781567
0.269534,5.492530708781567
0.270000,5.4928664072632944
0.270465,5.493202105745021
0.270931,5.493202105745021
0.271396,3.5797207598992897
0.271862,3.44258793011368
0.272327,3.2319371328297857
0.272793,2.410147249561303
0.273258,1.491676203555352
0.273724,0.7920805676356145
0.274189,0.24757763027389945
0.274655,-0.2620126649881742
0.275120,-0.7564965285725185
0.275586,-1.2100251773861295
0.276051,-1.6101777676050963
0.276517,-1.9640039673456928
0.276983,-2.2787212939650567
0.277448,-2.5578545815213243
0.277914,-2.8012359807736327
0.278379,-3.010711833371481
0.278845,-3.1887998779278246
0.279310,-3.3376821545738915
0.279776,-3.4587014572365913
0.280241,-3.5542076752880143
0.280707,-3.6257114518959335
0.281172,-3.675226977950713
0.281638,-3.704097047379263
0.282103,-3.7136644541084918
0.282569,-3.7056076905470356
0.283034,-3.6817730983443964
0.283500,-3.6429999237048905
0.283965,-3.5907988097962917
0.284431,-3.5263447013046463
0.284896,-3.4506446936751347
0.285362,-3.365377279316396
0.285827,-3.271213855191882
0.286293,-3.1689936675059127
0.286758,-3.060059510185397
0.287224,-2.9452506294346534
0.287689,-2.8254062714579993
0.288155,-2.7010299839780267
0.288620,-2.572961013199054
0.289086,-2.442206454566262
0.289551,-2.309269855802243
0.290017,-2.174990463111314
0.290483,-2.039200427252613
0.290948,-1.903242542153048
0.291414,-1.7671168078126196
0.291879,-1.631158922713054
0.292345,-1.4960402838178073
0.292810,-1.3624322880903332
0.293276,-1.2306706340123597
0.293741,-1.1009231708247502
0.294207,-0.9726863508049135
0.294672,-0.8474708171206226
0.295138,-0.7242694743266956
0.295603,-0.6047608148317694
0.296069,-0.48760204470893415
0.296534,-0.3739681086442359
0.297000,-0.26419470511940185
0.297465,-0.15727473868925002
0.297931,-0.05387960631723506
0.298396,0.04582284275577936
0.298862,0.14183260852979326
0.299327,0.2341496910048066
0.299793,0.32243839169909205
0.300258,0.4072022583352407
0.300724,0.4884412909132525
0.301189,0.5658197909514
0.301655,0.6396734569314106
0.302120,0.7094987411306934
0.302586,0.7757991912718394
0.303051,0.8387426565957121
0.303517,0.8979934386205843
0.303982,0.9535515373464561
0.304448,1.0062561989776455
0.304914,1.055939574273289
0.305379,1.1022659647516593
0.305845,1.1452353704127562
0.306310,1.1855191882200349
0.306776,1.2224460212100403
0.307241,1.2566872663462272
0.307707,1.2882429236285955
0.308172,1.317112993057145
0.308638,1.343297474631876
0.309103,1.367132066834516
0.309569,1.388952468146792
0.310034,1.408087281605249
0.310500,1.424872205691615
0.310965,1.4399786373693444
0.311431,1.4537422751201647
0.311896,1.465995269703212
0.312362,1.4775768673228045
0.312827,1.4977187762264437
0.313293,2.178179598687724
0.313758,5.207858396276798
0.314224,5.490180819409476
0.314689,5.4918593118181125
0.315155,5.492530708781567
0.315620,5.492530708781567
0.316086,5.493202105745021
0.316551,5.493202105745021
0.317017,5.493202105745021
0.317482,5.493202105745021
0.317948,5.493202105745021
0.318414,5.493873502708476
0.318879,5.493873502708476
0.319345,5.493202105745021
0.319810,5.493202105745021
0.320276,5.493873502708476
0.320741,5.493705653467612
0.321207,5.493537804226749
0.321672,5.493202105745021
0.322138,5.493202105745021
0.322603,5.493202105745021
0.323069,5.4928664072632944
0.323534,5.493202105745021
0.324000,5.493202105745021
0.324465,5.493202105745021
0.324931,5.492530708781567
0.325396,5.492530708781567
0.325862,5.493537804226749
0.326327,5.493873502708476
0.326793,5.493705653467612
0.327258,5.493202105745021
0.327724,5.493202105745021
0.328189,5.493873502708476
0.328655,5.493873502708476
0.329120,3.30411230640116
0.329586,-1.7310292210269322
0.330051,-4.216037232013427
0.330517,-5.466849774929427
0.330982,-5.490348668650339
0.331448,-5.4918593118181125
0.331914,-5.492530708781567
0.332379,-5.4928664072632944
0.332845,-5.493034256504157
0.333310,-5.493202105745021
0.333776,-5.493202105745021
0.334241,-5.493202105745021
0.334707,-5.493369954985885
0.335172,-5.493537804226749
0.335638,-5.493537804226749
0.336103,-5.493705653467612
0.336569,-5.493537804226749
0.337034,-5.493705653467612
0.337500,-5.493537804226749
0.337965,-5.493537804226749
0.338431,-5.493537804226749
0.338896,-5.493369954985885
0.339362,-5.493537804226749
0.339827,-5.493705653467612
0.340293,-5.493537804226749
0.340758,-5.493369954985885
0.341224,-5.493537804226749
0.341689,-5.493705653467612
0.342155,-5.493873502708476
0.342620,-5.494377050431067
0.343086,-5.49454489967193
0.343551,-5.494712748912795
0.344017,-5.49454489967193
0.344482,-5.494377050431067
0.344948,-5.49454489967193
0.345413,-5.49454489967193
0.345879,-5.494377050431067
0.346345,-5.494712748912795
0.346810,-5.49454489967193
0.347276,-5.49454489967193
0.347741,-5.494712748912795
0.348207,-5.49454489967193
0.348672,-5.494712748912795
0.349138,-5.49454489967193
0.349603,-5.494712748912795
0.350069,-5.49454489967193
0.350534,-5.49454489967193
0.351000,-5.49454489967193
0.351465,-5.49454489967193
0.351931,-5.494712748912795
0.352396,-5.494377050431067
0.352862,-5.49454489967193
0.353327,-5.494880598153658
0.353793,-5.49454489967193
0.354258,-5.494712748912795
0.354724,-5.49454489967193
0.355189,-5.49454489967193
0.355655,-5.494377050431067
0.356120,-5.494377050431067
0.356586,-5.494377050431067
0.357051,-5.49454489967193
0.357517,-3.800778210116732
0.357982,-1.3537041275654231
0.358448,0.9456626230258641
0.358913,2.9757991912718396
0.359379,4.813412680247196
0.359845,5.488838025482566
0.360310,5.4918593118181125
0.360776,5.4918593118181125
0.361241,5.492530708781567
0.361707,5.4928664072632944
0.362172,5.4928664072632944
0.362638,5.4928664072632944
0.363103,5.492530708781567
0.363569,5.493202105745021
0.364034,5.493202105745021
0.364500,5.493034256504157
0.364965,5.4928664072632944
0.365431,5.4928664072632944
0.365896,5.492530708781567
0.366362,5.493202105745021
0.366827,5.493202105745021
0.367293,5.4928664072632944
0.367758,5.493034256504157
0.368224,5.493202105745021
0.368689,5.493202105745021
0.369155,5.493202105745021
0.369620,5.493202105745021
0.370086,5.493202105745021
0.370551,5.493202105745021
0.371017,5.493202105745021
0.371482,5.493034256504157
0.371948,5.493202105745021
0.372413,5.4928664072632944
0.372879,5.492530708781567
0.373345,-0.7153734645609215
0.373810,-5.42941939421683
0.374276,-5.490516517891203
0.374741,-5.492530708781567
0.375207,-5.493202105745021
0.375672,-5.493369954985885
0.376138,-5.493705653467612
0.376603,-5.493705653467612
0.377069,-5.493873502708476
0.377534,-5.494209201190204
0.378000,-5.49404135194934
0.378465,-5.494377050431067
0.378931,-5.494209201190204
0.379396,-5.494209201190204
0.379862,-5.494377050431067
0.380327,-0.38454261081864644
0.380793,5.462317845426108
0.381258,5.489845120927748
0.381724,5.4918593118181125
0.382189,5.492530708781567
0.382655,5.492530708781567
0.383120,5.493202105745021
0.383586,5.492530708781567
0.384051,5.4928664072632944
0.384517,5.4928664072632944
0.384982,5.493202105745021
0.385448,5.4928664072632944
0.385913,5.493202105745021
0.386379,5.493202105745021
0.386844,5.493202105745021
0.387310,5.493202105745021
0.387776,5.493202105745021
0.388241,5.493202105745021
0.388707,5.493202105745021
0.389172,5.493873502708476
0.389638,5.493202105745021
0.390103,5.493202105745021
0.390569,5.493202105745021
0.391034,5.493034256504157
0.391500,5.493202105745021
0.391965,5.493202105745021
0.392431,5.492530708781567
0.392896,5.492530708781567
0.393362,5.4928664072632944
0.393827,5.493202105745021
0.394293,5.492530708781567
0.394758,5.4918593118181125
0.395224,5.492530708781567
0.395689,5.493034256504157
0.396155,5.4928664072632944
0.396620,5.493202105745021
0.397086,5.4928664072632944
0.397551,5.493202105745021
0.398017,5.493202105745021
0.398482,5.493202105745021
0.398948,5.492530708781567
0.399413,5.493202105745021
0.399879,5.4923628595407035
0.400344,5.492530708781567
0.400810,5.4928664072632944
0.401276,5.492530708781567
0.401741,5.492530708781567
0.402207,5.493202105745021
0.402672,5.493705653467612
0.403138,5.071229114213779
0.403603,1.1566491187914856
0.404069,0.07687495231555656
0.404534,-0.21770046540016783
0.405000,-0.7323262378881514
0.405465,-1.157824063477531
0.405931,-1.5698939497978177
0.406396,-1.992202639810788
0.406862,-2.1932860303654533
0.407327,-2.2263523308155944
0.407793,-2.5541618982223238
0.408258,-2.966567483024338
0.408724,-2.9845273517967494
0.409189,-2.676691844052796
0.409655,-2.412832837415122
0.410120,-2.3879911497672994
0.410586,-1.9614862287327381
0.411051,-1.3330586709391927
0.411517,-1.1949187457084
0.411982,-1.4908369573510336
0.412448,-1.9265735866330969
0.412913,-2.344686045624475
0.413379,-2.725368123903258
