Time_s,Ch_0,Ch_1,Ch_2,Ch_3,Ch_4,Ch_5,Ch_6
0.033983,-5.494377,-0.145203,-0.033936,0.950439,-2.175573,21.297710,1.320611
0.034448,-5.494713,-0.139587,-0.035767,0.956238,-0.404580,20.435114,1.641221
0.034914,-5.494545,-0.139587,-0.037598,0.956726,3.122137,20.229008,2.236641
0.035379,-5.494377,-0.139709,-0.029724,0.959229,6.473282,21.083969,2.625954
0.035845,-5.494209,-0.139099,-0.017395,0.959595,11.229008,21.312977,3.106870
0.036310,-5.494377,-0.136108,-0.002930,0.960266,17.396946,20.152672,3.389313
0.036776,-5.494881,-0.131348,0.015503,0.961975,24.458015,18.236641,3.770992
0.037241,-4.959777,-0.117676,0.030334,0.955994,30.679390,15.992367,4.076336
0.037707,-4.128252,-0.111206,0.035583,0.946167,33.419846,14.473283,3.702290
0.038172,-3.019440,-0.099609,0.045593,0.933289,32.458015,15.801527,3.648855
0.038638,-2.291142,-0.095825,0.067932,0.923889,29.862595,18.267176,4.206107
0.039103,-1.626627,-0.090637,0.088074,0.920471,26.832062,18.786259,5.328244
0.039569,-1.007935,-0.084229,0.095154,0.923523,21.022902,16.992367,5.389313
0.040034,-0.458732,-0.075928,0.096375,0.915894,10.854961,16.435114,4.625954
0.040500,0.038102,-0.069031,0.082092,0.897583,-3.587786,18.603054,3.748092
0.040965,0.479210,-0.070801,0.065674,0.892944,-11.816793,20.160305,3.488550
0.041431,0.873991,-0.078735,0.041870,0.907959,-27.572519,23.480917,2.832061
0.041897,1.228489,-0.092285,0.015381,0.928894,-40.435116,25.412214,2.305344
0.042362,1.542031,-0.107300,-0.010254,0.954956,-46.992367,26.488550,2.068702
0.042828,1.807904,-0.121826,-0.031067,0.973083,-46.061069,26.839695,1.809160
0.043293,2.035843,-0.132324,-0.047363,0.984558,-37.931297,26.015266,2.183206
0.043759,2.243641,-0.135864,-0.057922,0.991943,-23.595419,23.442749,2.122137
0.044224,2.423239,-0.135254,-0.061157,0.995483,-6.007634,19.786259,1.732824
0.044690,2.575311,-0.133789,-0.058716,0.991821,11.000000,16.923664,0.488550
0.045155,2.694484,-0.134033,-0.046448,0.980957,25.488550,15.641221,-0.320611
0.045621,2.784115,-0.129517,-0.032166,0.967957,35.526718,14.587787,-0.900763
0.046086,2.327565,-0.120667,-0.010925,0.951416,39.877861,12.664123,-1.267176
0.046552,-4.432227,-0.106384,0.009705,0.940979,38.717556,11.534351,-1.687023
0.047017,-5.492531,-0.090454,0.028992,0.928772,32.816795,12.877863,-2.114504
0.047483,-5.494041,-0.081604,0.044189,0.918335,23.977098,15.343512,-2.320611
0.047948,-5.494545,-0.080078,0.052979,0.910828,18.656488,16.709923,-2.511450
0.048414,-5.494881,-0.085327,0.055054,0.910278,7.541985,18.625954,-2.946565
0.048879,-5.494881,-0.094666,0.052734,0.919800,-2.770992,20.183207,-3.213740
0.049345,-5.494881,-0.100464,0.041687,0.919617,-11.519084,20.717558,-3.061069
0.049810,-5.494881,-0.106384,0.022522,0.923462,-18.076336,20.702290,-2.862595
0.050276,-5.495048,-0.105408,0.006775,0.936462,-22.412214,19.664122,-2.610687
0.050741,-5.495048,-0.105469,-0.013611,0.952515,-23.793894,18.732824,-2.328244
0.051207,-5.495048,-0.102478,-0.022522,0.958618,-22.206106,18.793894,-1.809160
0.051672,-1.445686,-0.102112,-0.038025,0.967163,-17.977098,20.167938,-0.969466
0.052138,5.498573,-0.105835,-0.045349,0.967041,-11.099236,21.847328,-0.152672
0.052603,5.499916,-0.116577,-0.043823,0.972778,-2.083969,21.687023,-0.427481
0.053069,5.499916,-0.116577,-0.043823,0.972778,-2.083969,21.687023,-0.427481
0.053534,5.499916,-0.129761,-0.035156,0.965881,15.671756,16.809160,-1.458015
0.054000,5.499916,-0.124878,-0.023804,0.958923,22.343512,15.167939,-1.458015
0.054465,5.499916,-0.124878,-0.023804,0.958923,22.343512,15.167939,-1.458015
0.054931,5.499916,-0.102966,0.004517,0.944031,26.610687,14.122137,-1.534351
0.055397,5.499916,-0.091553,0.013306,0.937622,24.923664,14.038168,-2.190840
0.055862,5.499916,-0.093262,0.023560,0.930786,20.732824,15.129771,-2.442748
0.056328,5.499916,-0.091980,0.028809,0.924744,14.832061,16.534351,-2.030534
0.056793,5.499916,-0.092896,0.031677,0.924194,8.755725,17.992367,-1.748092
0.057259,5.499916,-0.093384,0.028931,0.925598,2.740458,18.366413,-1.839695
0.057724,-2.934508,-0.097717,0.017334,0.928101,-2.488550,18.160305,-2.152672
0.058190,5.295476,-0.100525,0.016479,0.932739,-6.893130,18.671755,-2.328244
0.058655,5.499916,-0.104797,0.005310,0.934082,-9.694656,19.358778,-2.053435
0.059121,5.499916,-0.100586,-0.005188,0.941467,-10.633588,19.145039,-1.748092
0.059586,5.499916,-0.103394,-0.013306,0.951416,-9.671756,18.916031,-1.374046
0.060052,5.499916,-0.107727,-0.022583,0.963562,-6.496183,18.870230,-0.877863
0.060517,5.499916,-0.105652,-0.028748,0.967285,-2.511450,19.664122,-0.755725
0.060983,5.499916,-0.111206,-0.027588,0.962036,2.343511,20.396946,-0.748092
0.061448,5.499916,-0.117432,-0.021912,0.956970,4.839694,20.099237,-0.656489
0.061914,-0.518151,-0.118713,-0.019714,0.954163,10.442748,18.015266,-0.702290
0.062379,-5.489845,-0.114258,-0.017395,0.947083,14.679389,15.419847,-0.778626
0.062845,-5.493538,-0.108032,-0.015015,0.937561,16.236641,14.038168,-0.694656
0.063310,-5.494377,-0.102478,-0.011292,0.936340,15.282443,15.083969,-0.603053
0.063776,-5.494377,-0.102478,-0.002563,0.942200,14.122137,16.885496,-0.717557
0.064241,-5.494545,-0.101990,0.004883,0.944702,13.755725,16.526718,-0.984733
0.064707,-5.494713,-0.100464,0.002808,0.944397,13.374045,14.984733,-1.083969
0.065172,-5.239918,-0.100281,-0.000916,0.940247,12.213740,15.305344,-0.992366
0.065638,1.921370,-0.095337,-0.008728,0.935059,8.603053,17.358778,-0.809160
0.066103,3.085573,-0.094299,-0.018982,0.926758,3.183206,20.488550,-1.541985
0.066569,5.495888,-0.105835,-0.031616,0.919983,-2.473282,23.603054,-2.030534
0.067034,-0.310689,-0.119507,-0.041931,0.921997,-6.763359,25.442749,-2.381679
0.067500,-5.489677,-0.134827,-0.049561,0.942200,-7.183206,26.427481,-2.503817
0.067965,-5.493706,-0.145203,-0.045166,0.969421,-2.106870,24.702290,-2.778626
0.068431,5.412299,-0.150269,-0.044189,0.993103,2.534351,22.656488,-3.076336
0.068896,5.499916,-0.146667,-0.039978,1.000122,13.992367,17.145039,-3.908397
0.069362,5.499916,-0.131104,-0.031738,0.994751,26.694656,12.022901,-3.755725
0.069828,5.499916,-0.104370,-0.017761,0.974304,38.465649,9.938931,-2.717557
0.070293,5.499916,-0.104370,-0.017761,0.974304,38.465649,9.938931,-2.717557
0.070759,5.499916,-0.077881,0.033447,0.982849,56.656490,8.305344,-0.610687
0.071224,1.997070,-0.071411,0.056396,0.974854,62.129772,6.809160,-0.862595
0.071690,5.499916,-0.073608,0.070801,0.958740,64.435112,7.488550,-0.908397
0.072155,5.499916,-0.072083,0.098877,0.922729,64.519081,8.801527,0.465649
0.072621,-5.236057,-0.058777,0.126099,0.895508,60.763359,8.763359,1.465649
0.073086,-5.236057,-0.058777,0.126099,0.895508,60.763359,8.763359,1.465649
0.073552,-5.493874,-0.059753,0.148438,0.882141,32.480915,12.725191,-0.442748
0.074017,-5.494545,-0.078918,0.150513,0.871155,10.297709,20.396946,-0.580153
0.074483,-5.494713,-0.095886,0.146484,0.864807,-11.106871,25.748091,0.396947
0.074948,-5.494881,-0.107971,0.137756,0.876709,-20.213741,26.053434,1.068702
0.075414,-5.494881,-0.109314,0.115051,0.911011,-34.038166,22.114504,1.862595
0.075879,-5.495048,-0.096985,0.085693,0.934937,-42.206108,17.038168,2.396947
0.076345,-5.495048,-0.079224,0.046814,0.945557,-44.870228,16.412214,2.595420
0.076810,-5.495048,-0.068054,0.019226,0.948181,-43.297710,19.465649,2.694656
0.077276,-5.495216,-0.068359,-0.005310,0.955933,-38.839695,23.061069,2.404580
0.077741,-5.495384,-0.080505,-0.025940,0.972290,-32.030533,25.091602,2.274809
0.078207,-5.495216,-0.103760,-0.045166,0.990295,-24.862595,25.351145,1.480916
0.078672,-5.495384,-0.116882,-0.046021,0.994019,-16.893129,24.625954,0.870229
0.079138,-5.495216,-0.138550,-0.052368,0.984802,-7.679389,22.809160,1.167939
0.079603,-5.495384,-0.151550,-0.043945,0.982910,4.160306,18.900763,2.862595
0.080069,-5.495216,-0.146179,-0.025513,0.992798,18.267176,14.282443,4.129771
0.080534,-5.495048,-0.121765,-0.007874,0.994263,32.480915,10.633588,3.778626
0.081000,-5.089525,-0.098328,0.007812,0.968689,42.595421,8.442748,2.465649
0.081465,-4.784710,-0.085876,0.022034,0.932861,44.274811,9.190840,1.633588
0.081931,-3.309148,-0.083679,0.035278,0.905090,41.786259,10.793893,1.541985
0.082396,-5.424048,-0.089966,0.040894,0.896118,31.297710,15.045801,1.961832
0.082862,-5.494377,-0.097473,0.044800,0.899414,16.343512,18.381680,2.519084
0.083328,-5.494881,-0.104065,0.048279,0.908875,1.450382,20.198473,2.305344
0.083793,-3.006180,-0.104675,0.041199,0.922424,-9.709924,20.236641,2.274809
0.084259,-5.231357,-0.102234,0.028015,0.940308,-15.435115,19.236641,2.137405
0.084724,-5.494545,-0.102173,0.015076,0.954468,-16.061069,18.282442,2.206107
0.085190,-5.495048,-0.097290,0.007874,0.962280,-11.809160,18.183207,2.992366
0.085655,-5.495216,-0.093872,0.002075,0.971008,-3.633588,17.893129,3.396947
0.086121,-5.495216,-0.092163,0.001648,0.982361,7.190840,17.335878,3.961832
0.086586,-5.495216,-0.093018,0.007385,0.986633,19.259542,16.175573,4.320611
0.087052,-5.495384,-0.092163,0.021423,0.975159,29.709923,15.083969,4.671756
0.087517,-5.495216,-0.084290,0.038879,0.955811,36.083969,13.633588,4.053435
0.087983,-5.495384,-0.082825,0.046814,0.937744,37.038166,12.847328,3.755725
0.088448,-5.495384,-0.081665,0.063721,0.919617,35.656490,12.916031,3.954198
0.088914,-5.495384,-0.082214,0.078674,0.914978,29.824427,13.992367,4.694656
0.089379,-4.969848,-0.075623,0.081909,0.917297,20.809160,15.190840,5.374046
0.089845,-2.793683,-0.078857,0.085693,0.916504,9.824428,17.290077,5.167939
0.090310,-1.270787,-0.081604,0.078247,0.914734,-1.076336,19.557251,4.419847
0.090776,-0.249256,-0.085571,0.072144,0.922729,-9.442748,20.312977,4.396946
0.091241,0.409216,-0.086731,0.059448,0.932617,-14.961832,19.610687,4.206107
0.091707,1.331212,-0.088989,0.048218,0.935059,-16.961832,19.389313,3.893130
0.092172,1.421851,-0.086853,0.040527,0.934937,-16.427481,19.259542,3.786260
0.092638,0.978393,-0.085327,0.023010,0.940796,-14.938931,19.305344,3.908397
0.093103,1.382910,-0.088074,0.012878,0.959473,-12.618320,20.122137,3.671756
0.093569,1.958633,-0.093506,0.006226,0.978333,-8.152672,21.038168,3.297710
0.094034,2.651514,-0.097961,0.012939,0.984863,-0.595420,20.969465,3.305344
0.094500,3.406500,-0.098145,0.017090,0.968506,7.480916,19.061069,3.473282
0.094965,4.433066,-0.097168,0.020874,0.953735,13.404580,16.763359,3.404580
0.095431,5.497063,-0.094360,0.019958,0.942444,14.916031,15.793893,3.213740
0.095896,5.499916,-0.092285,0.023621,0.940613,14.152672,15.900764,2.984733
0.096362,5.499916,-0.098389,0.030151,0.936218,9.961832,18.229008,2.717557
0.096828,5.499916,-0.103210,0.030945,0.932800,5.465649,20.412214,2.893130
0.097293,5.499916,-0.108032,0.034668,0.944336,2.068702,20.954199,3.213740
0.097759,5.499916,-0.109802,0.039917,0.951233,0.847328,20.320610,3.053435
0.098224,5.499916,-0.105652,0.046875,0.948242,2.381679,18.839695,2.702290
0.098690,5.499916,-0.104065,0.047119,0.945129,5.740458,17.137405,2.541985
0.099155,5.499916,-0.094543,0.053223,0.943970,9.625955,15.755725,2.984733
0.099621,5.499916,-0.084717,0.052307,0.940857,12.183207,15.610687,3.206107
0.100086,5.499916,-0.074707,0.056763,0.940186,12.114504,16.648855,3.396947
0.100552,5.499916,-0.072876,0.057434,0.932739,8.007633,19.015266,3.259542
0.101017,5.499916,-0.075745,0.056213,0.922058,1.137405,21.664122,2.969466
0.101483,5.499916,-0.081482,0.051819,0.916321,-6.152672,22.091602,2.656489
0.101948,5.499916,-0.084656,0.042236,0.924622,-13.213740,20.740458,2.412214
0.102414,5.499916,-0.081970,0.029114,0.938599,-16.687023,20.061069,2.145038
0.102879,5.499916,-0.081543,0.017273,0.949829,-21.519083,20.931297,1.564885
0.103345,5.499916,-0.088318,0.009583,0.961670,-22.106871,23.175573,1.282443
0.103810,5.499916,-0.090698,0.001038,0.976562,-17.488550,23.832062,1.603053
0.104276,5.499916,-0.099182,0.003784,0.986755,-8.396947,22.725191,1.580153
0.104741,5.499916,-0.102295,0.006470,0.984253,3.274809,20.954199,1.328244
0.105207,5.499916,-0.106018,0.015198,0.969299,14.267176,18.656488,1.152672
0.105672,5.499916,-0.104980,0.019958,0.960754,21.633587,17.152672,0.847328
0.106138,5.499916,-0.104980,0.019958,0.960754,21.633587,17.152672,0.847328
0.106603,5.499916,-0.105652,0.037964,0.941345,22.015266,16.068703,0.427481
0.107069,5.499916,-0.102051,0.045288,0.933472,17.175573,16.519083,0.549618
0.107534,5.499916,-0.093811,0.050171,0.920593,10.748092,16.809160,0.290076
0.108000,5.499916,-0.084106,0.056946,0.921021,3.992366,16.938931,-0.465649
0.108465,5.499916,-0.077209,0.055908,0.925842,-2.160305,17.541985,-1.122137
0.108931,5.499916,-0.077209,0.055908,0.925842,-2.160305,17.541985,-1.122137
0.109396,5.499916,-0.082153,0.042175,0.942017,-9.114504,20.396946,-2.091603
0.109862,5.499916,-0.090210,0.037903,0.941833,-11.053435,22.229008,-1.992366
0.110327,5.499916,-0.097046,0.033936,0.941406,-10.198473,22.458015,-1.236641
0.110793,5.499916,-0.104248,0.025757,0.948059,-7.503817,21.618320,-0.847328
0.111259,5.499916,-0.104492,0.019470,0.956726,-4.076336,19.984734,-0.687023
0.111724,5.499916,-0.106934,0.014587,0.962341,-1.259542,18.480917,-0.511450
0.112190,5.499916,-0.103760,0.017822,0.958191,1.015267,18.083969,-0.442748
0.112655,5.499916,-0.103088,0.018311,0.961548,4.022901,17.916031,-0.648855
0.113121,-0.643366,-0.099792,0.024292,0.958435,7.160306,17.564886,-0.862595
0.113586,-2.493065,-0.095764,0.033447,0.950500,10.160305,16.656488,-1.244275
0.114052,-2.721340,-0.091492,0.031677,0.944397,11.290076,16.076336,-1.213740
0.114517,-1.495369,-0.091309,0.033020,0.933655,10.335877,16.778625,-1.045802
0.114983,1.574258,-0.092651,0.031738,0.929871,6.992366,18.465649,-1.091603
0.115448,5.490517,-0.094971,0.031250,0.933838,2.282443,19.564886,-1.114504
0.115914,5.499916,-0.098389,0.030212,0.940308,-0.274809,19.809160,-1.259542
0.116379,5.499916,-0.099426,0.022583,0.941101,-4.908397,19.389313,-1.564885
0.116845,5.499916,-0.093140,0.021484,0.941345,-7.496183,18.961832,-1.748092
0.117310,5.499916,-0.090454,0.015198,0.945435,-7.221374,18.732824,-1.236641
