Rel_Time,System_Time,S6_EMG_1
0.069362,18:00:50.789,1.573587
0.069828,18:00:50.790,1.931777
0.070293,18:00:50.790,2.311788
0.070759,18:00:50.791,2.622309
0.071224,18:00:50.791,2.807614
0.071690,18:00:50.792,2.886839
0.072155,18:00:50.792,2.898253
0.072621,18:00:50.793,2.872740
0.073086,18:00:50.793,2.815335
0.073552,18:00:50.794,2.682734
0.074017,18:00:50.794,2.443549
0.074483,18:00:50.795,2.153002
0.074948,18:00:50.795,1.881758
0.075414,18:00:50.795,1.651133
0.075879,18:00:50.796,1.407584
0.076345,18:00:50.796,1.105623
0.076810,18:00:50.797,0.804837
0.077276,18:00:50.797,0.578576
0.077741,18:00:50.798,0.395117
0.078207,18:00:50.798,0.192523
0.078672,18:00:50.799,-0.018967
0.079138,18:00:50.799,-0.215686
0.079603,18:00:50.800,-0.389578
0.080069,18:00:50.800,-0.548699
0.080534,18:00:50.801,-0.693721
0.081000,18:00:50.801,-0.693721
0.081466,18:00:50.802,-0.848814
0.081931,18:00:50.802,-0.832700
0.082397,18:00:50.802,-0.751125
0.082862,18:00:50.803,-0.651423
0.083328,18:00:50.803,-0.575555
0.083793,18:00:50.804,-0.506401
0.084259,18:00:50.804,-0.440772
0.084724,18:00:50.805,-0.400656
0.085190,18:00:50.805,-0.393103
0.085655,18:00:50.806,-0.390921
0.086121,18:00:50.806,-0.361044
0.086586,18:00:50.807,-0.307668
0.087052,18:00:50.807,-0.264698
0.087517,18:00:50.808,-0.216358
0.087983,18:00:50.808,-0.113298
0.088448,18:00:50.808,0.036423
0.088914,18:00:50.809,0.219715
0.089379,18:00:50.809,0.473503
0.089845,18:00:50.810,0.846128
0.090310,18:00:50.810,1.233188
0.090776,18:00:50.811,1.499062
0.091241,18:00:50.811,1.610513
0.091707,18:00:50.812,1.615213
0.092172,18:00:50.812,1.558816
0.092638,18:00:50.813,1.469520
0.093103,18:00:50.813,1.345312
0.093569,18:00:50.814,1.134997
0.094034,18:00:50.814,0.806851
0.094500,18:00:50.815,0.439597
0.094966,18:00:50.815,0.130587
0.095431,18:00:50.815,0.130587
0.095897,18:00:50.816,-0.380850
0.096362,18:00:50.816,-0.712184
0.096828,18:00:50.817,-1.027405
0.097293,18:00:50.817,-1.282200
0.097759,18:00:50.818,-1.522896
0.098224,18:00:50.818,-1.769635
0.098690,18:00:50.819,-1.997070
0.099155,18:00:50.819,-2.203693
0.099621,18:00:50.820,-2.384131
0.100086,18:00:50.820,-2.535698
0.100552,18:00:50.821,-2.671321
0.101017,18:00:50.821,-2.772534
0.101483,18:00:50.822,-2.815335
0.101948,18:00:50.822,-2.796033
0.102414,18:00:50.822,-2.737285
0.102879,18:00:50.823,-2.676524
0.103345,18:00:50.823,-2.622644
0.103810,18:00:50.824,-2.549966
0.104276,18:00:50.824,-2.456138
0.104741,18:00:50.825,-2.370367
0.105207,18:00:50.825,-2.312795
0.105672,18:00:50.826,-2.262272
0.106138,18:00:50.826,-2.179187
0.106603,18:00:50.827,-2.079316
0.107069,18:00:50.827,-1.988510
0.107534,18:00:50.828,-1.880415
0.108000,18:00:50.828,-1.717601
0.108466,18:00:50.829,-1.510140
0.108931,18:00:50.829,-1.274815
0.109397,18:00:50.829,-0.992157
0.109862,18:00:50.830,-0.649577
0.110328,18:00:50.830,-0.270237
0.110793,18:00:50.831,0.052201
0.111259,18:00:50.831,0.279133
0.111724,18:00:50.832,0.431205
0.112190,18:00:50.832,0.484581
0.112655,18:00:50.833,0.457389
0.113121,18:00:50.833,0.385885
0.113586,18:00:50.834,0.230793
0.114052,18:00:50.834,-0.039109
0.114517,18:00:50.835,-0.352819
0.114983,18:00:50.835,-0.631281
0.115448,18:00:50.835,-0.856535
0.115914,18:00:50.836,-1.103944
0.116379,18:00:50.836,-1.421347
0.116845,18:00:50.837,-1.748150
0.117310,18:00:50.837,-2.017380
0.117776,18:00:50.838,-2.252033
0.118241,18:00:50.838,-2.491051
0.118707,18:00:50.839,-2.741985
0.119172,18:00:50.839,-2.741985
0.119638,18:00:50.840,-3.223377
0.120103,18:00:50.840,-3.436378
0.120569,18:00:50.841,-3.654582
0.121034,18:00:50.841,-3.843244
0.121500,18:00:50.842,-3.971481
0.121966,18:00:50.842,-4.042985
0.122431,18:00:50.842,-4.079408
0.122897,18:00:50.843,-4.111467
0.123362,18:00:50.843,-4.145708
0.123828,18:00:50.844,-4.155612
0.124293,18:00:50.844,-4.144701
0.124759,18:00:50.845,-4.142519
0.125224,18:00:50.845,-4.159304
0.125690,18:00:50.846,-4.166354
0.126155,18:00:50.846,-4.126909
