Frame,Timestamp,System_Time,J0_Valid,J0_X,J0_Y,J0_Z,J0_Dist,J1_Valid,J1_X,J1_Y,J1_Z,J1_Dist,J2_Valid,J2_X,J2_Y,J2_Z,J2_Dist,J3_Valid,J3_X,J3_Y,J3_Z,J3_Dist,J4_Valid,J4_X,J4_Y,J4_Z,J4_Dist,J5_Valid,J5_X,J5_Y,J5_Z,J5_Dist,J6_Valid,J6_X,J6_Y,J6_Z,J6_Dist,J7_Valid,J7_X,J7_Y,J7_Z,J7_Dist,J8_Valid,J8_X,J8_Y,J8_Z,J8_Dist,J9_Valid,J9_X,J9_Y,J9_Z,J9_Dist,J10_Valid,J10_X,J10_Y,J10_Z,J10_Dist,J11_Valid,J11_X,J11_Y,J11_Z,J11_Dist,J12_Valid,J12_X,J12_Y,J12_Z,J12_Dist,J13_Valid,J13_X,J13_Y,J13_Z,J13_Dist,J14_Valid,J14_X,J14_Y,J14_Z,J14_Dist,J15_Valid,J15_X,J15_Y,J15_Z,J15_Dist,J16_Valid,J16_X,J16_Y,J16_Z,J16_Dist,J17_Valid,J17_X,J17_Y,J17_Z,J17_Dist,J18_Valid,J18_X,J18_Y,J18_Z,J18_Dist,J19_Valid,J19_X,J19_Y,J19_Z,J19_Dist,J20_Valid,J20_X,J20_Y,J20_Z,J20_Dist,J21_Valid,J21_X,J21_Y,J21_Z,J21_Dist,J22_Valid,J22_X,J22_Y,J22_Z,J22_Dist,J23_Valid,J23_X,J23_Y,J23_Z,J23_Dist,J24_Valid,J24_X,J24_Y,J24_Z,J24_Dist
1,1446388065,17:55:20.740,True,0.1536666750907898,-0.3286648094654083,0.19551172852516174,0.412139356136322,True,0.12348758429288864,-0.29444530606269836,0.21418829262256622,0.3844786584377289,True,0.0998551994562149,-0.27952060103416443,0.23075610399246216,0.37596699595451355,True,0.0873924195766449,-0.2635755240917206,0.25779199600219727,0.37890130281448364,True,0.079865962266922,-0.25460904836654663,0.2794342041015625,0.38637781143188477,True,0.13588166236877441,-0.29408136010169983,0.21378517150878906,0.38813886046409607,True,0.14018931984901428,-0.24129635095596313,0.24018749594688416,0.36819425225257874,True,0.12488339096307755,-0.23618575930595398,0.2744838297367096,0.38304170966148376,True,0.11152739077806473,-0.24656598269939423,0.2919130027294159,0.39805319905281067,True,0.10030622035264969,-0.25781452655792236,0.30766645073890686,0.4137490689754486,True,0.15001797676086426,-0.3012508153915405,0.2184864580631256,0.4012402892112732,True,0.16032031178474426,-0.24826869368553162,0.24687442183494568,0.3850804269313812,True,0.14353419840335846,-0.24054193496704102,0.2855898141860962,0.4000300467014313,True,0.12656071782112122,-0.2608828544616699,0.293083131313324,0.41228047013282776,True,0.11681012809276581,-0.2814587652683258,0.28281718492507935,0.4157513678073883,True,0.1654113233089447,-0.3073679208755493,0.22512444853782654,0.41535162925720215,True,0.17244598269462585,-0.2630392014980316,0.2550458610057831,0.40493902564048767,True,0.1573408842086792,-0.25487709045410156,0.29003095626831055,0.4169369339942932,True,0.13860616087913513,-0.2736644148826599,0.29116344451904297,0.4229421317577362,True,0.13217973709106445,-0.2892313301563263,0.2735559940338135,0.41947484016418457,True,0.16964423656463623,-0.312321275472641,0.23092348873615265,0.4238506853580475,True,0.18101121485233307,-0.2816103994846344,0.2626871168613434,0.4255279004573822,True,0.16991135478019714,-0.27293094992637634,0.2899632751941681,0.43294328451156616,True,0.1524970829486847,-0.28335127234458923,0.29038867354393005,0.4334384500980377,True,0.14386922121047974,-0.29326948523521423,0.27281880378723145,0.4256001114845276
2,1446522664,17:55:20.741,True,0.15339317917823792,-0.32637274265289307,0.19430841505527496,0.4096393287181854,True,0.12317439168691635,-0.29227080941200256,0.21332009136676788,0.3822298049926758,True,0.09980981796979904,-0.27718523144721985,0.2301204651594162,0.37383028864860535,True,0.08764125406742096,-0.26125195622444153,0.25729694962501526,0.3770083487033844,True,0.0801570937037468,-0.25227656960487366,0.27895015478134155,0.38455402851104736,True,0.1355605572462082,-0.29189449548721313,0.2128312885761261,0.3858448266983032,True,0.1397770196199417,-0.2392364740371704,0.2393936961889267,0.3661707639694214,True,0.12444616109132767,-0.23401661217212677,0.27366241812705994,0.38097473978996277,True,0.11092611402273178,-0.24432237446308136,0.29100915789604187,0.39583373069763184,True,0.0995367094874382,-0.25551727414131165,0.3066798150539398,0.4113990068435669,True,0.14968186616897583,-0.29910314083099365,0.2175561487674713,0.3989962637424469,True,0.15983371436595917,-0.24630245566368103,0.24620449542999268,0.3831818699836731,True,0.14266160130500793,-0.23891159892082214,0.28481602668762207,0.39818495512008667,True,0.12552347779273987,-0.25911688804626465,0.29230159521102905,0.41029006242752075,True,0.11527630686759949,-0.27982157468795776,0.2828071415424347,0.41420844197273254,True,0.16494880616664886,-0.3052843511104584,0.2241438627243042,0.41309455037117004,True,0.17185264825820923,-0.261153906583786,0.2543870508670807,0.40304771065711975,True,0.15664222836494446,-0.25294917821884155,0.28931647539138794,0.4149988889694214,True,0.13749903440475464,-0.2712325155735016,0.29143697023391724,0.4211989641189575,True,0.12952038645744324,-0.28750550746917725,0.27515262365341187,0.41850197315216064,True,0.169120654463768,-0.31028348207473755,0.22994785010814667,0.42160844802856445,True,0.1803056001663208,-0.2797931730747223,0.2619873583316803,0.42359381914138794,True,0.16942039132118225,-0.27102112770080566,0.2893203794956207,0.43111714720726013,True,0.15177619457244873,-0.280961275100708,0.2906983196735382,0.4318341910839081,True,0.14131255447864532,-0.2912445366382599,0.2743803560733795,0.42435503005981445
3,1446658271,17:55:20.741,True,0.15054260194301605,-0.3251000940799713,0.18174292147159576,0.40172579884529114,True,0.1202770471572876,-0.2911197543144226,0.20107199251651764,0.3736940622329712,True,0.09718146920204163,-0.27587777376174927,0.2181016206741333,0.36485764384269714,True,0.08530919998884201,-0.25994664430618286,0.24541006982326508,0.3675268888473511,True,0.07787125557661057,-0.2509494721889496,0.2670701742172241,0.3746545612812042,True,0.13265451788902283,-0.29072439670562744,0.20049506425857544,0.3772481679916382,True,0.13676607608795166,-0.2381724864244461,0.22718092799186707,0.3564298748970032,True,0.12142141163349152,-0.23282919824123383,0.2614244818687439,0.37053385376930237,True,0.1077476292848587,-0.24305316805839539,0.2786989212036133,0.3851720094680786,True,0.09619982540607452,-0.25418752431869507,0.29429662227630615,0.4005948007106781,True,0.14676396548748016,-0.2979646921157837,0.20524564385414124,0.39044639468193054,True,0.1567511409521103,-0.24532151222229004,0.23411446809768677,0.37358149886131287,True,0.13919955492019653,-0.23824530839920044,0.27261418104171753,0.3878863751888275,True,0.12190571427345276,-0.25831425189971924,0.2801084518432617,0.4000599980354309,True,0.11116895079612732,-0.2791205048561096,0.2714104652404785,0.4048832058906555,True,0.16190709173679352,-0.3041974902153015,0.211781844496727,0.40447691082954407,True,0.16866976022720337,-0.2602443993091583,0.24231384694576263,0.39356401562690735,True,0.15336081385612488,-0.2519799470901489,0.2771861255168915,0.40477845072746277,True,0.13385020196437836,-0.26972392201423645,0.28030452132225037,0.41138485074043274,True,0.12435565888881683,-0.2865591049194336,0.26546943187713623,0.40994447469711304,True,0.1660207062959671,-0.3092370927333832,0.21759235858917236,0.41296109557151794,True,0.17701849341392517,-0.2789435386657715,0.2498822808265686,0.4142296612262726,True,0.1663542240858078,-0.2700716555118561,0.27727010846138,0.42129698395729065,True,0.14853864908218384,-0.2795136272907257,0.27961021661758423,0.42234283685684204,True,0.13632944226264954,-0.290026992559433,0.2647133767604828,0.4156615734100342
4,1446794115,17:55:21.048,True,0.15244844555854797,-0.3245324194431305,0.1838615983724594,0.4029477834701538,True,0.12271825224161148,-0.2903572618961334,0.20375849306583405,0.37534603476524353,True,0.10007986426353455,-0.2749797999858856,0.2212732583284378,0.36686745285987854,True,0.08874917030334473,-0.25901052355766296,0.2487887591123581,0.3699442148208618,True,0.08101321011781693,-0.249784454703331,0.2702471911907196,0.37681421637535095,True,0.1350831389427185,-0.29004910588264465,0.20295174419879913,0.3789002001285553,True,0.13994739949703217,-0.2375539243221283,0.22957012057304382,0.3587751090526581,True,0.1252947598695755,-0.23214471340179443,0.2641052007675171,0.3732847571372986,True,0.11175104975700378,-0.24206025898456573,0.2816595435142517,0.3878318965435028,True,0.10027771443128586,-0.2529333233833313,0.2974947690963745,0.4031550884246826,True,0.14919759333133698,-0.29741162061691284,0.20751658082008362,0.39214375615119934,True,0.15993836522102356,-0.24489575624465942,0.23628151416778564,0.3760095238685608,True,0.14288288354873657,-0.23769347369670868,0.2749802768230438,0.39054813981056213,True,0.12535645067691803,-0.2572101950645447,0.28334248065948486,0.4026838541030884,True,0.1137198805809021,-0.27801358699798584,0.27588313817977905,0.407842218875885,True,0.1643199622631073,-0.30378133058547974,0.2138092964887619,0.4062001407146454,True,0.17180600762367249,-0.259939581155777,0.24433258175849915,0.3959599733352661,True,0.15709392726421356,-0.2514084577560425,0.27939701080322266,0.40736642479896545,True,0.13733193278312683,-0.26871904730796814,0.2832757234573364,0.41390228271484375,True,0.12691500782966614,-0.28564998507499695,0.26918742060661316,0.41251087188720703,True,0.16844846308231354,-0.30886733531951904,0.2195686399936676,0.4147099256515503,True,0.180062934756279,-0.27872589230537415,0.25178492069244385,0.41654103994369507,True,0.16995877027511597,-0.2696305513381958,0.2793114483356476,0.423794150352478,True,0.15206703543663025,-0.2787942588329315,0.2821280360221863,0.4247903823852539,True,0.1391642987728119,-0.28926560282707214,0.2677968442440033,0.4180387854576111
5,1448050605,17:55:21.050,True,0.1653873175382614,-0.33659833669662476,0.14836663007736206,0.40331631898880005,True,0.13804678618907928,-0.3027203679084778,0.17230959236621857,0.3746827244758606,True,0.11774122714996338,-0.28828108310699463,0.19316434860229492,0.36644434928894043,True,0.10803522914648056,-0.27301841974258423,0.22168360650539398,0.36790525913238525,True,0.09724172949790955,-0.263203501701355,0.2414976954460144,0.37020692229270935,True,0.15022172033786774,-0.3024701774120331,0.17007090151309967,0.37812548875808716,True,0.15791061520576477,-0.2506522834300995,0.19703063368797302,0.355785608291626,True,0.14527791738510132,-0.2473425567150116,0.23261278867721558,0.3693138659000397,True,0.13276147842407227,-0.25729548931121826,0.2508935034275055,0.3831111490726471,True,0.12217134237289429,-0.26812654733657837,0.26736021041870117,0.397868275642395,True,0.16455550491809845,-0.31017616391181946,0.17334972321987152,0.3915838301181793,True,0.17810897529125214,-0.2586161196231842,0.20224495232105255,0.37350785732269287,True,0.1627214550971985,-0.2538580596446991,0.24200601875782013,0.38663819432258606,True,0.14523375034332275,-0.27257561683654785,0.25209739804267883,0.3986770808696747,True,0.13165758550167084,-0.2930013835430145,0.2473742961883545,0.4054350256919861,True,0.17964011430740356,-0.31694501638412476,0.17801474034786224,0.40547990798950195,True,0.19010493159294128,-0.27413409948349,0.20911982655525208,0.3937264084815979,True,0.17271654307842255,-0.27314773201942444,0.24398259818553925,0.40492987632751465,True,0.1539539396762848,-0.29193955659866333,0.2437194585800171,0.4102800190448761,True,0.14492642879486084,-0.3069979250431061,0.22682572901248932,0.40829071402549744,True,0.18400587141513824,-0.322277307510376,0.18336156010627747,0.413935124874115,True,0.19837108254432678,-0.29329603910446167,0.21553324162960052,0.4145216941833496,True,0.18242011964321136,-0.29104524850845337,0.24166810512542725,0.4199855923652649,True,0.16557395458221436,-0.30215856432914734,0.23949474096298218,0.4196096658706665,True,0.1560376137495041,-0.31095612049102783,0.2217980921268463,0.4125964343547821
6,1448113618,17:55:21.050,True,0.16646891832351685,-0.33151552081108093,0.16805905103683472,0.4072570502758026,True,0.13875386118888855,-0.29703089594841003,0.19069230556488037,0.3792670965194702,True,0.11817457526922226,-0.28210726380348206,0.21092860400676727,0.3715381622314453,True,0.10777918994426727,-0.2659657299518585,0.23871156573295593,0.3732791841030121,True,0.09672042727470398,-0.2556062340736389,0.25809746980667114,0.37590381503105164,True,0.15095070004463196,-0.2968088388442993,0.18857727944850922,0.38267868757247925,True,0.15816542506217957,-0.24419359862804413,0.2140670269727707,0.36120837926864624,True,0.14488433301448822,-0.24047742784023285,0.24937190115451813,0.37550926208496094,True,0.13209019601345062,-0.25022104382514954,0.26757296919822693,0.3894273638725281,True,0.12126632034778595,-0.2608230710029602,0.28403669595718384,0.40424132347106934,True,0.1652596890926361,-0.3043784499168396,0.19226808845996857,0.3961363434791565,True,0.17830434441566467,-0.2519558370113373,0.2197902649641037,0.37892210483551025,True,0.16209536790847778,-0.2465311735868454,0.25913745164871216,0.39268913865089417,True,0.14450348913669586,-0.2649455666542053,0.2695988118648529,0.40467384457588196,True,0.13095739483833313,-0.28552424907684326,0.2654935121536255,0.41129153966903687,True,0.18027561902999878,-0.31096792221069336,0.19730931520462036,0.41003817319869995,True,0.19023248553276062,-0.2672384977340698,0.22728268802165985,0.3990767300128937,True,0.17251908779144287,-0.2650492787361145,0.2619263529777527,0.4106328785419464,True,0.15372806787490845,-0.2838130593299866,0.2621617913246155,0.41582566499710083,True,0.14482000470161438,-0.2994409203529358,0.24572816491127014,0.4135456681251526,True,0.1845768690109253,-0.3161311447620392,0.20287011563777924,0.418525755405426,True,0.1984442174434662,-0.28618526458740234,0.23436982929706573,0.4197753369808197,True,0.18240876495838165,-0.2829282879829407,0.26034650206565857,0.4255603849887848,True,0.16553139686584473,-0.29405856132507324,0.2585318684577942,0.42509976029396057,True,0.15602213144302368,-0.30347174406051636,0.24114005267620087,0.4178355038166046
7,1448210650,17:55:22.245,True,0.16723349690437317,-0.33308425545692444,0.16651010513305664,0.40821290016174316,True,0.13928328454494476,-0.2987005114555359,0.1890314370393753,0.3799404203891754,True,0.11858711391687393,-0.2839067876338959,0.20924395322799683,0.37208735942840576,True,0.10772811621427536,-0.2676960825920105,0.2368084341287613,0.3732891380786896,True,0.09656253457069397,-0.2573596239089966,0.2561453878879547,0.37572428584098816,True,0.15148121118545532,-0.2984192371368408,0.18693393468856812,0.38333389163017273,True,0.15834757685661316,-0.2457185983657837,0.21232599020004272,0.3612947463989258,True,0.14473941922187805,-0.24260804057121277,0.24756476283073425,0.37562811374664307,True,0.13186144828796387,-0.25267624855041504,0.2655285596847534,0.3895357847213745,True,0.12098217755556107,-0.26352977752685547,0.28179067373275757,0.4043397307395935,True,0.1658133715391159,-0.3059162497520447,0.19069316983222961,0.3967905342578888,True,0.17849335074424744,-0.25338447093963623,0.2181541621685028,0.3790181875228882,True,0.1618213653564453,-0.24842847883701324,0.2573694586753845,0.3926090896129608,True,0.1442602276802063,-0.2668622136116028,0.2678482234477997,0.4046839773654938,True,0.1307477355003357,-0.28749731183052063,0.26391884684562683,0.4115857481956482,True,0.18081915378570557,-0.31242668628692627,0.19578641653060913,0.4106559753417969,True,0.19045260548591614,-0.26860275864601135,0.22572752833366394,0.3992149531841278,True,0.1727294772863388,-0.2662099599838257,0.26035276055336,0.4104714095592499,True,0.15394985675811768,-0.2849826514720917,0.26073992252349854,0.4158136248588562,True,0.14504121243953705,-0.3007362186908722,0.24442701041698456,0.4137919545173645,True,0.18511715531349182,-0.3175617456436157,0.20137575268745422,0.4191252887248993,True,0.1987130343914032,-0.28750181198120117,0.2328851968050003,0.41997581720352173,True,0.18282699584960938,-0.28399163484573364,0.2589206099510193,0.4255782663822174,True,0.16592419147491455,-0.29511502385139465,0.2573120594024658,0.42524486780166626,True,0.15630042552947998,-0.3046759068965912,0.2400643527507782,0.41819626092910767
8,1450818089,17:55:22.246,True,0.2025272399187088,-0.4081680178642273,0.14003367722034454,0.47668421268463135,True,0.18230071663856506,-0.3848213255405426,0.1789449155330658,0.4618898928165436,True,0.16730311512947083,-0.37968865036964417,0.2073078751564026,0.4638214707374573,True,0.16297033429145813,-0.3748987317085266,0.24045583605766296,0.47426509857177734,True,0.1567726731300354,-0.3728315830230713,0.2641781270503998,0.483085036277771,True,0.19366048276424408,-0.38333895802497864,0.17424756288528442,0.46348175406455994,True,0.20875975489616394,-0.3423895537853241,0.21382498741149902,0.4544583261013031,True,0.20234498381614685,-0.3552125096321106,0.24891135096549988,0.47861912846565247,True,0.19465050101280212,-0.3702739179134369,0.2663428485393524,0.49591338634490967,True,0.18886223435401917,-0.38481253385543823,0.28233465552330017,0.5132859945297241,True,0.20813092589378357,-0.3910398483276367,0.17162498831748962,0.4750639796257019,True,0.22937127947807312,-0.35068225860595703,0.211592897772789,0.4694260060787201,True,0.22371144592761993,-0.359367698431015,0.2532208561897278,0.4932674467563629,True,0.20822645723819733,-0.38118430972099304,0.2597210109233856,0.5060778260231018,True,0.19383883476257324,-0.39774003624916077,0.24777370691299438,0.5071118474006653,True,0.22367820143699646,-0.39825746417045593,0.17041167616844177,0.48752546310424805,True,0.24214930832386017,-0.3670251965522766,0.21032626926898956,0.48742273449897766,True,0.23598244786262512,-0.3750045895576477,0.2479698359966278,0.5077452063560486,True,0.21683913469314575,-0.393352746963501,0.2465156465768814,0.5123627185821533,True,0.20495684444904327,-0.4009689390659332,0.2266547977924347,0.504138708114624,True,0.22898033261299133,-0.4048040509223938,0.17267268896102905,0.49609896540641785,True,0.25108444690704346,-0.38684290647506714,0.20831112563610077,0.506047785282135,True,0.24628812074661255,-0.390628844499588,0.2383975237607956,0.5196942687034607,True,0.2289254367351532,-0.4010743200778961,0.23960167169570923,0.5202657580375671,True,0.21436214447021484,-0.40462151169776917,0.22357548773288727,0.509564220905304
9,1452982197,17:55:23.282,True,0.20660847425460815,-0.4512876272201538,0.09288997948169708,0.5049515962600708,True,0.1868274211883545,-0.4381502866744995,0.13653486967086792,0.49550169706344604,True,0.17270876467227936,-0.4399369955062866,0.16574448347091675,0.5008434057235718,True,0.16929486393928528,-0.44257277250289917,0.19923929870128632,0.5140308737754822,True,0.16344912350177765,-0.4458000361919403,0.22292140126228333,0.5245447754859924,True,0.1979464888572693,-0.435129314661026,0.13200294971466064,0.495928555727005,True,0.21275122463703156,-0.4033393859863281,0.17934252321720123,0.49000969529151917,True,0.20751312375068665,-0.423295259475708,0.2111380696296692,0.5165460705757141,True,0.20177625119686127,-0.44080835580825806,0.2269585132598877,0.5352904200553894,True,0.19805127382278442,-0.4571759104728699,0.24175184965133667,0.5537852644920349,True,0.21261322498321533,-0.44137799739837646,0.12737134099006653,0.5062038898468018,True,0.23358510434627533,-0.40997403860092163,0.17481306195259094,0.5031901597976685,True,0.23079147934913635,-0.4265386760234833,0.2142866849899292,0.5302063226699829,True,0.21626362204551697,-0.4498816728591919,0.21571758389472961,0.5437808036804199,True,0.20222413539886475,-0.4632900059223175,0.20000317692756653,0.5436298847198486,True,0.22837215662002563,-0.4474167227745056,0.12419117987155914,0.5174543857574463,True,0.24694520235061646,-0.4250228703022003,0.1696154922246933,0.5199959874153137,True,0.24424497783184052,-0.4397859573364258,0.20558075606822968,0.5434433817863464,True,0.22574448585510254,-0.4586034119129181,0.20260196924209595,0.5498411059379578,True,0.21233737468719482,-0.463478147983551,0.18285009264945984,0.5416025519371033,True,0.23400112986564636,-0.45405176281929016,0.12480220198631287,0.5258280634880066,True,0.2565787434577942,-0.4434658885002136,0.16300535202026367,0.5376479625701904,True,0.25463712215423584,-0.4534752368927002,0.19196347892284393,0.5543733835220337,True,0.23769865930080414,-0.4646592140197754,0.19213134050369263,0.5561683773994446,True,0.22234411537647247,-0.46502748131752014,0.17645929753780365,0.544816792011261
10,1462964868,17:55:23.323,True,-0.1895812749862671,-0.2700060307979584,0.3452310860157013,0.4775236248970032,True,-0.20130574703216553,-0.22588782012462616,0.35573142766952515,0.46700549125671387,True,-0.2133403867483139,-0.19624733924865723,0.3614181876182556,0.4633036255836487,True,-0.21181535720825195,-0.16465841233730316,0.3732638955116272,0.4596782326698303,True,-0.21550197899341583,-0.14091180264949799,0.3785494565963745,0.45781755447387695,True,-0.19373056292533875,-0.23272337019443512,0.3630407750606537,0.4727475643157959,True,-0.1810164898633957,-0.19388830661773682,0.4080287516117096,0.4866693615913391,True,-0.16560986638069153,-0.16627195477485657,0.4289238452911377,0.4889260232448578,True,-0.15258169174194336,-0.14706067740917206,0.4360724091529846,0.48483726382255554,True,-0.13922204077243805,-0.1301622837781906,0.4421202540397644,0.48145127296447754,True,-0.1816834807395935,-0.24358895421028137,0.3651188015937805,0.47503286600112915,True,-0.16631165146827698,-0.20909078419208527,0.4151867926120758,0.4937191307544708,True,-0.14195173978805542,-0.1776537299156189,0.4312697947025299,0.4875497817993164,True,-0.12466327846050262,-0.15657559037208557,0.4351201355457306,0.47894296050071716,True,-0.1086873859167099,-0.13761842250823975,0.438158243894577,0.47194743156433105,True,-0.16585439443588257,-0.2538987696170807,0.3706476092338562,0.4789069890975952,True,-0.15049326419830322,-0.22201764583587646,0.4113592207431793,0.49107682704925537,True,-0.12758386135101318,-0.1947648972272873,0.4272082448005676,0.4865366220474243,True,-0.11125868558883667,-0.1738232672214508,0.42679089307785034,0.4740711748600006,True,-0.09805505722761154,-0.15407292544841766,0.42138373851776123,0.459257572889328,True,-0.15776273608207703,-0.25698691606521606,0.3696128726005554,0.477016806602478,True,-0.1351405680179596,-0.23464086651802063,0.4023265242576599,0.48495975136756897,True,-0.11554909497499466,-0.21660295128822327,0.41760197281837463,0.48441699147224426,True,-0.10191961377859116,-0.20160359144210815,0.41873183846473694,0.4757814407348633,True,-0.08973336219787598,-0.18336449563503265,0.41814786195755005,0.4653194844722748
